"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2192","RT @BookWhit: Just saw these at #barnesandnoble and wanted to buy them all! #disney #villians #bibliophile #bemyvalentine https://t.co/fOmL‚Ä¶",FALSE,0,NA,2017-02-14 15:36:25,FALSE,NA,"831527525612392448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adriansalter315",1,TRUE,FALSE,NA,NA
"2193","Happy Valentine's Day from one of my favorite couples at my very favorite place! ‚ù§#disney #MickeyMouse‚Ä¶ https://t.co/vT0dgXl8Em",FALSE,0,NA,2017-02-14 15:36:17,TRUE,NA,"831527491630141440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","distripqueen",0,FALSE,FALSE,NA,NA
"2194","RT @zachcstubbs: #Marvel #Disney #SonyPictures #SpiderManReboot #SpiderManMovie #SpiderManHomecoming #SpiderMan https://t.co/VieaIYS9ud",FALSE,0,NA,2017-02-14 15:35:27,FALSE,NA,"831527281491185665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SnoopyMonAmour",1,TRUE,FALSE,NA,NA
"2195","Just saw these at #barnesandnoble and wanted to buy them all! #disney #villians #bibliophile #bemyvalentine https://t.co/fOmL5E7ZBB",FALSE,2,NA,2017-02-14 15:34:52,FALSE,NA,"831527132950044672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BookWhit",1,FALSE,FALSE,NA,NA
"2196","I'm Mulan. Discover which #Disney princess you are! Ì†ΩÌ±ë 

START QUIZ: https://t.co/pz5GxRMPTW https://t.co/gWiKqZuMrI",FALSE,0,NA,2017-02-14 15:33:53,FALSE,NA,"831526885305757696",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Princess  Ì†ΩÌ±ë</a>","FelicitySteiger",0,FALSE,FALSE,NA,NA
"2197","Happy Valentine's Day everyone! #happyvalentines #disney #nickwilde #zootopia https://t.co/juQ1IYPdTT",FALSE,0,NA,2017-02-14 15:33:44,FALSE,NA,"831526848945328129",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","OrlandoBuckeye",1,FALSE,FALSE,NA,NA
"2198","#Marvel #Disney #SonyPictures #SpiderManReboot #SpiderManMovie #SpiderManHomecoming #SpiderMan https://t.co/VieaIYS9ud",FALSE,0,NA,2017-02-14 15:33:02,FALSE,NA,"831526672625135616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zachcstubbs",1,FALSE,FALSE,NA,NA
"2199","TBH though how did anyone at @YouTube or #Disney's @MakerStudios not look at PewDiePie and say, ""Doesn't he look a‚Ä¶ https://t.co/Vd7yc06ubP",FALSE,0,NA,2017-02-14 15:31:08,TRUE,NA,"831526193342119939",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JibranMalek",0,FALSE,FALSE,NA,NA
"2200","The most exciting gift? Definitely #beautyandthebeast! #pictoftheday #reallyakidatheart #disney‚Ä¶ https://t.co/ziRiTcntTx",FALSE,0,NA,2017-02-14 15:27:59,FALSE,NA,"831525402493358084",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bballsmitty",0,FALSE,FALSE,NA,NA
"2201","RT @heidielehmann: Disney World rolling out MagicBand 2 gear https://t.co/yWuZ7UWHai #wearabletech #disney",FALSE,0,NA,2017-02-14 15:25:27,FALSE,NA,"831524764187508737",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","ILoveMyPebble",1,TRUE,FALSE,NA,NA
"2202","It's #Disney day for the Smith Family! We wish you safe #travels as you #celebrate Brady's good‚Ä¶ https://t.co/z2zwwnsN6K",FALSE,0,NA,2017-02-14 15:23:26,FALSE,NA,"831524255556890625",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LynneFTCTravel",0,FALSE,FALSE,"-72.44658","41.77057"
"2203","An important lesson from #Disney's Tangled: The world within may be more terrifying than the world without.",FALSE,1,NA,2017-02-14 15:19:47,FALSE,NA,"831523339915108352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RonyKozman",0,FALSE,FALSE,NA,NA
"2204","Happy Valentine's Day from As You Wish Vacations! 

#vday #stvalentine #disney #aywvacations‚Ä¶ https://t.co/7z2byTM0KU",FALSE,0,NA,2017-02-14 15:19:29,FALSE,NA,"831523263381721089",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","aywchristina",0,FALSE,FALSE,NA,NA
